Stock Ticker,Sector,2019 PRICE VAR [%],Revenue Growth,Gross Margin,Operating Income,EBITDA Margin,Debt to Equity,ROE,R&D Expense Growth,Free Cash Flow
CMCSA,Consumer Cyclical,32.79457341,0.1115,1,19009000000,0.31,1.5604,0.1638,0,11985000000
KMI,Energy,40.58806776,0.032,0.4847,3794000000,0.453,1.1083,0.0478,0,2119000000
INTC,Technology,30.29551377,0.1289,0.6173,23316000000,0.456,0.3535,0.2824,0.039,14251000000
MU,Technology,64.21373673,0.4955,0.5887,14994000000,0.638,0.1436,0.4377,0.1738,8521000000
GE,Industrials,44.75784026,0.0285,0.2151,-14557000000,-0.07,3.344,-0.7216,0,709000000
BAC,Financial Services,44.31598762,0.0446,1,37866000000,0.402,1.6454,0.1061,0,39520000000
AAPL,Technology,88.74246463,0.1586,0.3834,70898000000,0.316,1.0685,0.5556,0.2293,64121000000
MSFT,Technology,58.25926291,0.1428,0.6525,35058000000,0.423,0.989,0.2003,0.1296,32252000000
SIRI,Consumer Cyclical,22.16194316,0.0637,0.5999,1726948000,0.359,-3.7909,-0.6472,0.096,1524715000
HPQ,Technology,3.016788856,0.1233,0.1825,4064000000,0.079,-9.3693,-8.3365,0.1798,4154000000
CX,Basic Materials,-21.97169153,0.0793,0.3391,1395867347,0.008,1.1011,0.0555,0,760918367.3
CZR,Consumer Cyclical,96.53179525,0.7237,0.5017,739000000,0.319,5.8591,0.0932,0,221000000
F,Consumer Cyclical,25.53720404,0.0227,0.0911,3203000000,0.086,4.2918,0.1023,0,7237000000
AMD,Technology,143.5475348,0.2326,0.3779,451000000,0.096,0.9874,0.2662,0.199,-129000000
SNAP,Technology,182.0379971,0.4309,0.3233,-1268450000,-0.981,0,-0.5434,-0.4969,-798890000
FB,Technology,51.27506713,0.3735,0.8325,24913000000,0.531,0,0.2628,0.3249,15359000000
WFC,Financial Services,19.21621179,-0.0139,1,28538000000,0.397,1.7069,0.1142,0,36073000000
AIG,Financial Services,32.87280262,-0.043,0.3423,1573000000,0.144,0.6128,-0.0001,0,61000000
T,Communication Services,40.61821635,0.0636,0.5349,26096000000,0.355,0.9588,0.1052,0,22844000000
C,Financial Services,53.48648158,0.0057,0.8961,23445000000,0.373,2.2531,0.092,0,33390000000
VALE,Basic Materials,0.582806355,0.0768,0.3955,11955000000,0.339,0.4497,0.156,0.0971,9117000000
MS,Financial Services,30.21096705,0.057,1,11237000000,0.323,2.4815,0.109,0,5440000000
AKS,Basic Materials,37.65689613,0.1213,0.1331,364400000,0.086,19.957,1.8619,0,212700000
JPM,Financial Services,44.75109868,0.0827,1,45635000000,0.429,2.0803,0.1197,0,14187000000
ORCL,Technology,19.15855211,0.0421,0.7953,13264000000,0.438,1.3072,0.0774,-0.0112,13650000000
NKE,Consumer Cyclical,38.24324762,0.0596,0.4384,4445000000,0.141,0.3883,0.197,0,3930000000
PG,Consumer Defensive,40.68027275,0.0273,0.4848,13363000000,0.248,0.5916,0.1844,0,11150000000
GSM,Basic Materials,-43.37349298,0.3056,0.3635,116754000,0.11,0.7291,0.0568,0,-32359000
BBD,Financial Services,7.298488877,-0.1691,1,4577742268,0.0698,1.0916,0.1334,0,-2197296649
PFE,Healthcare,-6.046939565,0.021,0.7903,11885000000,0.34,0.6583,0.1759,0.042,13631000000
JD,Technology,65.63234031,0.2209,0.1428,-379034877,0.0013,0.2412,-0.0417,0.7479,-51704052.1
NOK,Technology,-34.00213098,-0.0667,0.3743,417241379.3,-0.0184,0.3083,-0.0362,-0.1002,265517241.4
TWTR,Technology,11.24609452,0.2452,0.6828,453325000,0.323,0.3998,0.1771,0.0219,868847000
AVGO,Technology,29.44361589,0.1821,0.5148,5135000000,0.426,0.6562,0.4599,0.1446,8484000000
AMAT,Technology,85.65883117,0.1868,0.4531,4796000000,0.312,0.7756,0.484,0.1381,3165000000
ZNGA,Technology,53.76884061,0.0532,0.6642,6762000,0.076,0.0626,0.0097,0.0559,156804000
XOM,Energy,4.924793339,0.1876,0.3493,31719000000,0.172,0.1971,0.1087,-0.181,16440000000
QCOM,Technology,59.39173175,0.0159,0.5469,621000000,0.12,20.285,-6.1512,0.0255,3124000000
VIPS,Consumer Defensive,160.0000105,0.1099,0.2019,350378147.6,0.0062,0.3846,0.1233,0.0593,312249059.3
CSCO,Technology,14.81957008,0.0276,0.6204,12309000000,0.328,0.5918,0.0025,0.0451,12891000000
AXP,Financial Services,32.01876329,0.0841,1,8122000000,0.255,2.7601,0.3105,0,7620000000
BMY,Healthcare,26.64174768,0.0859,0.7098,5968000000,0.292,0.5238,0.3507,-0.0211,4989000000
V,Financial Services,42.27031236,0.1226,0.8462,12954000000,0.681,0.489,0.3029,0,12237000000
GRPN,Technology,-26.68711313,-0.0728,0.5008,54039000,0.039,0.529,-0.0291,0,121160000
GERN,Healthcare,30.76923694,0.0009,1,-29767000,-25.289,0,-0.152,0.2174,-21025000
KEY,Financial Services,40.43990016,0.0252,1,2203000000,0.42,0.9359,0.1197,0,2409000000
RF,Financial Services,30.51943045,0.0325,1,1955000000,0.46,0.9294,0.1123,0,2124000000
KR,Consumer Defensive,8.690633021,0.0635,0.2201,2612000000,0.037,2.2492,0.2751,0,604000000
HAL,Energy,-7.406170032,0.1637,0.1244,2467000000,0.166,1.083,0.1739,0,1349000000
BABA,Consumer Cyclical,55.15728664,0.7238,0.5723,10965669989,0.0598,0.3432,0.1752,0.454,16797500396
MRO,Energy,-6.405819277,0.3813,0.7847,1667000000,0.622,0.4534,0.0904,-0.2934,481000000
GILD,Healthcare,6.367174645,-0.1524,0.7807,8200000000,0.465,1.2775,0.2551,0.3439,7476000000
GM,Consumer Cyclical,13.37436463,0.01,0.0959,4445000000,0.155,2.7007,0.2062,0,6495000000
FCX,Basic Materials,28.96251918,0.1356,0.2782,4754000000,0.338,1.1371,0.2656,0.129,2015000000
CRM,Technology,19.98524215,0.2493,0.7369,454000000,0.12,0.1658,0.0347,0.2856,2204000000
ATVI,Technology,27.35980696,0.0688,0.6644,1988000000,0.328,0.2345,0.1591,0.0299,1659000000
SQ,Technology,9.370630313,0.4895,0.3953,-36614000,0.013,0.9359,-0.0343,0.5455,233877000
NUE,Basic Materials,10.98502829,0.2377,0.1714,3324686000,0.158,0.4382,0.2411,0,1443010000
SWN,Energy,-34.94623501,0.2057,0.4555,797000000,0.346,0.9814,0.2273,0,1576000000
LOW,Consumer Cyclical,32.36335184,0.0554,0.3269,6586000000,0.112,2.8938,0.5869,0,3987000000
RAD,Consumer Defensive,0.454549677,-0.061,0.222,159223000,0.085,2.1184,0.5893,0,80465000
VEON,Communication Services,10.79968058,-0.041,0.7671,524000000,0.442,2.1406,0.0387,0,584000000
SLB,Energy,14.18410269,0.078,0.1322,2835000000,0.205,0.4439,0.0591,-0.108,3453000000
FLEX,Technology,59.94930417,0.0661,0.0627,473997000,0.047,0.9742,0.142,0,-4383552000
FOXA,Consumer Cyclical,-1.147381443,0.0234,0.3593,2252000000,0.231,0,0.228,0,1102000000
ABBV,Healthcare,4.834143747,0.1608,0.7644,6383000000,0.247,-4.7727,-0.6733,1.0629,12789000000
GIS,Consumer Defensive,45.02756921,0.0077,0.3453,2419900000,0.202,2.5759,0.347,0,2219700000
